age,gender,position,years_experience,field,familiarity,familiarity_scource,importance,definition_comment,share_after_pub,share_after_pub_comment,share_after_pub_freq,share_pre_pub,share_pre_pub_comment,share_pre_pub_freq,public_data_freq,public_data_how,student_graded,teacher_graded,other_data_use,other_data_experience
24,female,student,2,Linguistics,yes,Cultural Data Science,very important,No,yes,NA,never,yes,NA,never,sometimes,NA,no,not relevant for me,often,"It was necessary, otherwise I couldn't complete my assignment"
24,female,student,2,Cognitive Science,yes,Education - Cognitive Science,very important,"If a license is specified, I agree with the above - so maybe the definition of open data should include a permission of others to use it.",yes,"To improve research, go deeper into the data and the analysis - both to understand the method deeper, but also for suggestions for future research, or even for inspiring oneself to do things in a certain way.  It can also help to improve homogeneity within a field, which will facilitate comparisons across studies within a field.    (I'm not answering to the next question/scale because I have never published anything)",NA,yes,"Yes, this can prevent p-hacking.  (I'm not answering to the next question/scale because I have never published anything)",NA,often,GitHub,yes,not relevant for me,often,"It can be very confusing, if people don't elaborate on e.g. column names - and if you only have the data/script, but no commenting or none of the reasoning behind."
23,female,student,2.5,Media science,yes,My classes,very important,"i am not very in to the topic, but I do find it very important",yes,"To make approvements, testing errors and make other kind of analysis with the data",never,yes,"I chose yes, but I am not sure it is done in my field - but I think it should be",never,sometimes,I have shared something in GitHub,no,not relevant for me,sometimes,It is a great help
33,male,academic,4,"Statistics, bioinformatics",yes,Twitter,important,"I think data can still be open if the purpose of their use is somewhat limited by their license (e.g. non-comerical, non-military, ...)",yes,"Yes, unless there are privacy concerns. Data is often the main result of research and should thus be shared.",often,no,"I think it is important to share data only after validating they are good quality, useful and can be interpreted. This would mostly be after publication. Also, under current incentives sharing before publication is potentially risky career-wise (although it shouldn't be)",never,often,"GitHub, Zenodo, Supplementary materials (often more of those at once)",not relevant for me,not relevant for me,often,Pretty good - in bioinformatics most of the data is shared in reasonably well documented and maintained repositories.
40,male,academic,10,Psychology,yes,Work,very important,Not different,yes,I think it is also important before publishing (during peer review),always,yes,The peer review process will work better if the research is shared more transparently,always,always,On the OSF,not relevant for me,no,often,It makes my research extremely more efficient
28,male,academic,3,Anthropology,yes,"General discussions on data, methods, and analysis",important,"Not generally, no.",no,"My field works primarily in so-called 'ethnographic data,' understood here as data created via ethnographic fieldwork, participant observation, interviews, and so forth. This material is, for better or worse, tied directly to the fieldwork in question and owes its existence to the specific relations the fieldwork has with her or his 'informants' or interlocutors in the field. These are often, or become over time, personal relations that go beyond merely an official researcher-to-research subject relation. In a sense, the 'data' that we have collectively produced in the context of fieldwork is 'ours', together and is only made ethnographically relevant insofar as it is produced, and situated, in a network of other such relations (involving the researcher and all other relevant informants, who often have complex relationships among them as well). This complicates the open sharing of data in several ways. Among them is the fact that some of data exists as fieldnotes, which is produced according to the fieldworkers personal preferences and which can potentially contain information that could not or should not count as data. Secondly, data in the fieldwork tradition is a collective production that extends beyond the recorded notes or transcribed interviews - they make sense to the fieldwork and the people involved in ways that might not make sense to others. Again, for better or for worse. These are just a few reasons as to why I am not sure that sharing data is necessarily important. The ethnographer is always accountable to the people she or he works with but is simulatenously responsible for upholding GDPR regulations - this involved as mix of hiding identities while still letting the informants find themselves adequately 'represented' in the published material. This requires a great deal of finesse in how data is used analytically in publications, and which would be rendered useless if data was to be shared in a form usable to others, at least if not done carefully. Finally, I am not certain that anyone would have actual use for 'raw' data produced ethnographically, it does not lend itself well to replication... (I won't even start here) and using it out of context would violate both the implicit and explicit negotiations of what can be communicated and how that the ethnographer continuously engages in with the people in the field.    This is not to say that open data in anthropology and ethnography is impossible or should be resisted (anthropologists working in interdisciplinary teams already engage in such processes of sharing, albeit internally). But it serves as partial reasons for why I think it less important and for why I have not done it myself.",never,no,I guess I covered this in the last answer as well.,never,never,NA,NA,no,sometimes,"Tricky question. I have used other people's data in the sense of incorporating their analysis, arguments, and 'results' in my own work. But this is standard academic practice that does not necessarily constitute (or require) the kinds of open data practices you have been referring to earlier."
22,female,student,2,Cognitive Science,yes,"Study, Cognitive Science",very important,"Maybe it would be good to add that the data is also in a ""state"" that it can be used by anyone, for example that it has meta-data, so that it is understandable to others",yes,"""stand on the shoulders of giants"", you can build up on each others research, you can see how others collected data, use their data, and research is paid for through taxes, so the results should be available to everyone.",never,yes,I think the data should be available at any time of the process,never,always,GitHub,yes,not relevant for me,often,"Often difficult, because of a lack of metadata"
23,female,academic,2.5,Cognitive Science,yes,Cognitive Science,very important,No,yes,To improve the robustness of results and allow other researchers to use the data differently to shed light on new questions.,never,yes,This still allows other researchers to use the data no matter if your paper gets published or not.,never,always,Github,yes,NA,sometimes,Very good if the data is organised and it is possible to see e.g. what the column names mean
31,other,academic,0,Psychology and neuroscience,yes,"Colleagues, twitter",slightly important,"I would include data that has some restrictions, for example that people request access and sign a data use agreement",yes,I think it's a good way to reduce fraud and mistakes,sometimes,no,"I don't think there's as much need to share before publication, but I have recently shared data at the point of submission and think that's a good idea",sometimes,often,OSF projects,not relevant for me,not relevant for me,never,NA
24,female,student,3,anthropology,yes,cultural data science subject,important,I agree with the definition above,no,"In anthropology, we work with interviews and participant observation. In regards to participant observation, we cannot publish all of our experiences because the data is too vast for us even to write everything down. In regards to the interviews, they are sometimes of personal nature that cannot be properly anonymized, which would be unethical to publish and illegal (GDPR)",never,no,same reason as before,never,never,NA,not relevant for me,NA,sometimes,NA
